Từ viết tắt,Viết đầy đủ,,,
"k, kh, ko, khum, hổng, khumm, không",không,,,
"b, bn, bẹn",bạn,,,
"dc, dk, duoc",được,,,
sr,xin lỗi,,,
"r, rồiii, òi, rùi",rồi,,,
c,"cậu, chị",,,
"bth, bt, bthg",bình thường,,,
cmt,bình luận,,,
t ,tao,,,
ib,nhắn tin,,,
"v, z, zậy",vậy,,,
"mờ, mừ, mak, mò",mà,,,
lị,lại,,,
tk,tài khoản,,,
bno,bọn nó,,,
khs,không hiểu sao,,,
"tr, trừi, trừiiiiii",trời,,,
tnao,thế nào,,,
"vs, vứi, vớiiii",với,,,
Hahahahahahahahaahaha,haha,,,
ms,mới,,,
tk,tài khoản,,,
nhók,nhóc,,,
tr oie,"r, rồiii, òi, dồi",,,
"cgi, cg",cái gì,,,
zô,vô,,,
ah,à,,,
N,nó,,,
gke,ghê,,,
lunnn,luôn,,,
"bit, biếc, piếc, bt",biết,,,
ksao,không sao,,,
"mk, minhhhh",mình,,,
kb,không biết,,,
stk,số tài khoản,,,
chưaaa,chưa,,,
lsao,làm sao,,,
cóa,có,,,
"ik, ikk, ikkkkk",đi,,,
uồiii,uầy,,,
thaayd,thấy,,,
tứk,tức,,,
str,bản tin,,,
sồu ,sầu,,,
lm,làm,,,
"rì vii, rv","đánh giá, nhận xét",,,
đóa,đó,,,
"j, rì",gì,,,
"zuii,zuiiiii",vui,,,
gd,gia đình,,,
"thoii, thuii, hoy, hoiiiii",thôi,,,
taoooooo,tao,,,
đt,điện thoại,,,
ctac,công tác,,,
hssv,học sinh sinh viên,,,
tbao,thông báo,,,
tr,triệu,,,
hp,học phí,,,
hb,học bổng,,,
kp,không phải,,,
kkk,haha,,,
chiuj,chịu,,,
thưn,thương,,,
wr,viết ,,,
lv,trình độ,,,
zậy,vậy,,,
tymmm,tim,,,
chams,chấm,,,
giốg,giống,,,
đúg,đúng,,,
ng,người,,,
"iin4, info,in4",thông tin,,,
aiii,ai,,,
eiii,ấy,,,
tsu,thực sự,,,
ckam kem,trầm cảm,,,
ơiii,ơi,,,
"nma, nhma",nhưng mà,,,
nun,luôn,,,
trg,trường,,,
"cx, cũm",cũng,,,
tnao,thế nào,,,
đk,đăng kí,,,
ngta,người ta,,,
nà,là,,,
"tloi, tl",trả lời,,,
nhiu,nhiều,,,
lv,mức độ,,,
ta ,tiếng anh,,,
"buần, puồn",buồn,,,
qtrong,quan trọng,,,
tramkam,trầm cảm,,,
pảo,bảo,,,
lgi,làm gì,,,
"mn, mng",mọi người,,,
pị,bị,,,
cta ,chúng ta,,,
ksao,không sao,,,
"sv, svien",sinh viên,,,
vđ,vãi đái,,,
khók,khóc,,,
nhìuuu,nhiều,,,
bùn,buồn,,,
tp,thành phố,,,
bh,bây giờ,,,
dphuc,đồng phục,,,
dki,đăng kí,,,
iem,em,,,
pé,bé,,,
"s, seo, shao",sao,,,
kq,kết quả,,,
ctt,cổng thông tin,,,
nữaaa,nữa,,,
dkm,dịt con mẹ,,,
lói,nói,,,
mm,mẹ mày,,,
cf,confession,,,
clm,cái lìn mẹ,,,
cmnl,con mẹ nó luôn,,,
clj,cái lìn gì,,,
uh,ừ,,,
vc,vãi ,,,
ew,êu,,,
ntn,như thế nào,,,
emmm,em,,,
nek,nè,,,
hiccc,hic,,,
bn,bao nhiêu,,,
chta,chúng ta,,,
h,giờ,,,
"qá, qaa",quá,,,
gke,ghê,,,
dky,đăng ký,,,
wa,quá,,,
tsao,tại sao,,,
ndung,nội dung,,,
ak,à,,,
mí,với,,,
"nhaaaaaa, nhaaa",nha,,,
tv,tiếng việt,,,
dãyyy,vậy,,,
theooo,theo,,,
"zl, vl, vcl",vãi lìn,,,
cs,cuộc sống,,,
bro,bóng rổ,,,
hc,học,,,
ei,ơi,,,
tt,"truyền thông, tương tác",,,
bome,bỏ mẹ,,,
gv,giảng viên,,,
qte,quốc tế,,,
sp,hỗ trợ,,,
"tnh, tn",tin nhắn,,,
ngol,ngon,,,
"đou, đâuuu, dou",đâu,,,
bíu,béo,,,
seo,sao,,,
hnao,hôm nào,,,
bmay,bọn mày,,,
chớt,chết,,,
qá,quá,,,
no nắng,lo lắng,,,
chíu khọ,khó chịu,,,
êasy,dễ dàng,,,
"sr, xloi, xl",xin lỗi,,,
drl,điểm rèn luyện,,,
